sale_id;lead_id;user_id;campaign_id;product_name;amount;sale_date
sale_e7c2dbd90c38;lead_0b36381566bb;user_100310;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;23144;2023-01-29 01:15:31
sale_e81f6df3ae07;lead_e44cebb14b90;user_100375;yandex_cpc_psycho_jan2023;Детско-родительские отношения;49896;2023-01-29 17:01:21
sale_a5c854346019;lead_84dd9599387c;user_100399;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;27727;2023-01-22 12:29:25
sale_0a1508d986c5;lead_0cca6865fcfe;user_100448;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31929;2023-01-20 02:58:07
sale_bf608543513a;lead_da0f46a7231e;user_100451;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;43277;2023-02-05 04:44:42
sale_dc3861aba38b;lead_facfd18e04c2;user_100579;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;28266;2023-01-26 04:10:04
sale_c65a432c09d3;lead_8d6fbdb7a0c9;user_100620;yandex_cpc_psycho_jan2023;Профессиональное выгорание;18130;2023-01-20 03:40:59
sale_b690ceee81fd;lead_aeaec502bc91;user_100645;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;16207;2023-01-09 16:42:46
sale_336b35291774;lead_0c79cf0c2b73;user_100680;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;23697;2023-02-03 04:02:58
sale_43bd2cfe50fa;lead_b1dd95c90734;user_100714;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;17999;2023-02-03 09:36:02
sale_f7f96b950a25;lead_2e8029d67f0d;user_100734;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;17279;2023-01-18 12:04:24
sale_90e86e185e9a;lead_66346c5bd5c6;user_100791;yandex_cpc_psycho_jan2023;Профессиональное выгорание;32485;2023-01-15 23:56:30
sale_4bbed8e54970;lead_3bee10296000;user_100797;yandex_cpc_psycho_jan2023;Детско-родительские отношения;43347;2023-02-06 23:46:02
sale_b60d8199b208;lead_200d95b6af73;user_100814;yandex_cpc_psycho_jan2023;Детско-родительские отношения;40149;2023-01-20 15:09:16
sale_a3a0269ac08f;lead_7ea30d7df056;user_100866;yandex_cpc_psycho_jan2023;Детско-родительские отношения;46191;2023-01-15 10:16:57
sale_14cdc647468e;lead_619cab70da9d;user_100883;yandex_cpc_psycho_jan2023;Профессиональное выгорание;29862;2023-02-04 03:21:48
sale_7047cb17c187;lead_def92aa3c919;user_100963;yandex_cpc_psycho_jan2023;Детско-родительские отношения;44632;2023-02-06 10:13:38
sale_defa756f725f;lead_debe91ac24e4;user_101162;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;23341;2023-02-07 07:24:37
sale_1a30d4b28027;lead_5d3ebcb1259f;user_101224;yandex_cpc_psycho_jan2023;Профессиональное выгорание;30823;2023-01-24 00:32:53
sale_13c676502570;lead_cee9ce484a0e;user_101236;yandex_cpc_psycho_jan2023;Детско-родительские отношения;34680;2023-02-05 10:15:34
sale_4406e72516fc;lead_74cb7f6cf10a;user_101315;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;22390;2023-01-29 06:15:01
sale_da0931aec3c4;lead_033996daf952;user_101331;yandex_cpc_psycho_jan2023;Профессиональное выгорание;33488;2023-01-09 05:49:21
sale_2120cc07aec6;lead_f7b0178f6d6e;user_101376;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;33888;2023-01-09 07:24:15
sale_7ebe31fb1a8c;lead_b9d9b0579b08;user_101379;yandex_cpc_psycho_jan2023;Детско-родительские отношения;38438;2023-01-10 17:54:09
sale_8201eb9c37aa;lead_1dc12f697cd3;user_101451;yandex_cpc_psycho_jan2023;Детско-родительские отношения;45187;2023-02-03 19:44:24
sale_1fd3f2b86d9b;lead_78afbc1ccf0b;user_101470;yandex_cpc_psycho_jan2023;Профессиональное выгорание;33989;2023-01-16 23:22:01
sale_e6bdeea0cb59;lead_44f012bc648f;user_101476;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;29428;2023-01-18 17:35:03
sale_a1513c69c016;lead_0d78c3f1d5ae;user_101480;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;36470;2023-01-28 15:27:28
sale_0a6e31a1e02d;lead_4f8d35a8e985;user_101505;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;17440;2023-01-07 11:33:39
sale_a300a733bdc6;lead_daa22dc7fbf3;user_101510;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;25661;2023-02-03 13:28:43
sale_a10546d65140;lead_850d5936517d;user_101591;yandex_cpc_psycho_jan2023;Детско-родительские отношения;37013;2023-01-29 14:47:23
sale_21a11a5cdecd;lead_e27adebc7d26;user_101663;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;34266;2023-02-03 00:43:24
sale_64fae1f28012;lead_7aa4753efe00;user_101678;yandex_cpc_psycho_jan2023;Профессиональное выгорание;23725;2023-01-25 07:57:17
sale_0cd7a95b00a7;lead_2d065c8ca96e;user_101679;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;31555;2023-02-08 07:13:51
sale_471e703ab84a;lead_d09dd43fcf9c;user_101698;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;30340;2023-01-19 16:32:11
sale_e7a32793199a;lead_649c42a490a0;user_101759;yandex_cpc_psycho_jan2023;Детско-родительские отношения;30937;2023-01-25 20:12:26
sale_9b0cab5bef4a;lead_dcebb5debe4e;user_101798;yandex_cpc_psycho_jan2023;Профессиональное выгорание;33801;2023-02-02 13:33:00
sale_18ac1d59a48e;lead_aaa7de1c8378;user_101804;yandex_cpc_psycho_jan2023;Профессиональное выгорание;22297;2023-01-19 16:03:17
sale_6bfc03f89988;lead_280159c80d56;user_101805;yandex_cpc_psycho_jan2023;Детско-родительские отношения;29216;2023-02-02 22:26:28
sale_059c021a8ba4;lead_825041c6a4b3;user_101806;yandex_cpc_psycho_jan2023;Детско-родительские отношения;38492;2023-01-29 19:18:37
sale_1b9538c9e6bc;lead_43a56dba53d8;user_101816;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;32967;2023-02-06 16:51:11
sale_7277a0e64922;lead_8f693e8253e8;user_101829;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;34658;2023-01-23 11:34:09
sale_14da2ffe2f21;lead_05e4f2290720;user_101860;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31633;2023-01-27 22:59:54
sale_45e8a2f6a21b;lead_4315b29a24e7;user_101877;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;34181;2023-01-28 00:35:20
sale_d65704c2e68c;lead_06c6f73a88f0;user_101926;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;36074;2023-02-05 22:31:03
sale_87c598aee901;lead_bbbb7e3fba1b;user_101986;yandex_cpc_psycho_jan2023;Детско-родительские отношения;41896;2023-02-04 09:36:32
sale_ac37641e9de1;lead_5d154b975463;user_101996;yandex_cpc_psycho_jan2023;Профессиональное выгорание;28779;2023-01-22 05:01:38
sale_c95e5e0b0bd3;lead_2c0e5f216c47;user_102000;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;28780;2023-01-04 15:17:31
sale_98e3ba954f20;lead_b2e6e96864c1;user_102012;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;22594;2023-01-31 15:39:11
sale_108c6eefcf16;lead_d6939e7aa43c;user_102129;yandex_cpc_psycho_jan2023;Детско-родительские отношения;49363;2023-01-30 22:19:27
sale_3099e1b9a44e;lead_02ebdc553942;user_102235;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;44509;2023-02-04 05:15:05
sale_4b183bf1327b;lead_ea8034e45937;user_102247;yandex_cpc_psycho_jan2023;Детско-родительские отношения;26529;2023-01-14 05:41:29
sale_785fe6eafad6;lead_bbba11fd78ac;user_102271;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31810;2023-02-03 14:26:50
sale_bc70d0ebaf1c;lead_8af9346bde66;user_102275;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;27049;2023-01-16 22:35:04
sale_ff7e55c1322a;lead_813cba190ae3;user_102283;yandex_cpc_psycho_jan2023;Профессиональное выгорание;34981;2023-01-16 03:41:50
sale_e7c72af53b1e;lead_4742fb533fb6;user_102343;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;40059;2023-01-26 00:02:36
sale_6032e439b024;lead_744bc7083113;user_102360;yandex_cpc_psycho_jan2023;Детско-родительские отношения;30236;2023-02-03 22:22:05
sale_9a985920deef;lead_a3ee6dfa7c8e;user_102520;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;25251;2023-01-20 00:03:17
sale_c542c595b133;lead_40464e3f1fc1;user_102548;yandex_cpc_psycho_jan2023;Детско-родительские отношения;46835;2023-01-12 19:46:03
sale_c802f600d9b0;lead_84cb468fa3ca;user_102553;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;44242;2023-01-06 09:34:31
sale_5c8560fab997;lead_57f25d380309;user_102599;yandex_cpc_psycho_jan2023;Детско-родительские отношения;25159;2023-01-20 23:51:05
sale_bba14eede06b;lead_b60ac5ffe57d;user_102616;yandex_cpc_psycho_jan2023;Детско-родительские отношения;37624;2023-01-14 19:31:40
sale_cc5e84093df8;lead_193fb18dac49;user_102639;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;41558;2023-02-09 09:50:03
sale_9982cb9a76bb;lead_bb64e0d10c62;user_102663;yandex_cpc_psycho_jan2023;Профессиональное выгорание;23061;2023-01-27 01:34:29
sale_cdcfdc6e4bba;lead_3c48ac452da7;user_102683;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;43847;2023-01-29 02:17:05
sale_1152c16212aa;lead_fe79191dcc87;user_102692;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31205;2023-01-10 16:56:50
sale_968ed33ec86b;lead_de85bc260fa4;user_102696;yandex_cpc_psycho_jan2023;Профессиональное выгорание;30525;2023-01-23 09:38:04
sale_926965eeb6f7;lead_6522a01a4fa0;user_102763;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;16152;2023-01-23 08:08:57
sale_183bfc7e0e3a;lead_aab70a203b99;user_102838;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;25651;2023-01-14 12:46:29
sale_70dd4cde46cf;lead_076aba47986c;user_102851;yandex_cpc_psycho_jan2023;Детско-родительские отношения;37044;2023-01-16 16:19:32
sale_fbca262bb089;lead_24aded60a9fb;user_102864;yandex_cpc_psycho_jan2023;Профессиональное выгорание;20252;2023-01-23 08:05:22
sale_00d14766473d;lead_c624da2309d7;user_102880;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;18130;2023-01-15 08:07:20
sale_ed9267114024;lead_f7fab281394b;user_102890;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;24513;2023-01-13 00:35:35
sale_b1072800f240;lead_5ede41ce2c90;user_102895;yandex_cpc_psycho_jan2023;Профессиональное выгорание;36940;2023-02-08 20:14:09
sale_748922bcaa05;lead_3b607ed59ada;user_102923;yandex_cpc_psycho_jan2023;Профессиональное выгорание;27716;2023-01-29 12:07:29
sale_3bc5f6af8e46;lead_0579ecfb24a8;user_102931;yandex_cpc_psycho_jan2023;Детско-родительские отношения;36631;2023-01-11 18:41:18
sale_f042d81198f1;lead_20072b869326;user_102987;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;26072;2023-01-20 17:50:52
sale_0d2238c85ff6;lead_324095b1c2e9;user_103015;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;43378;2023-02-05 00:41:01
sale_2eee2ea7fd6a;lead_ef51ea00f31e;user_103018;yandex_cpc_psycho_jan2023;Профессиональное выгорание;27334;2023-01-16 00:09:44
sale_0646b92b125c;lead_1a37685f51f1;user_103022;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;36460;2023-01-28 02:21:02
sale_136e857a9e45;lead_e1a345511a0e;user_103062;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;17123;2023-01-17 21:15:00
sale_466744dfd1d4;lead_9a60c349bf86;user_103127;yandex_cpc_psycho_jan2023;Профессиональное выгорание;36866;2023-01-12 10:23:58
sale_f0345fd646a6;lead_1788cde0476a;user_103163;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;29595;2023-01-30 21:57:36
sale_5e68660281ae;lead_6cb06fe0d35e;user_103200;yandex_cpc_psycho_jan2023;Профессиональное выгорание;30640;2023-01-19 09:36:12
sale_46f6c6458d5e;lead_2d765e45991a;user_103215;yandex_cpc_psycho_jan2023;Профессиональное выгорание;28526;2023-01-30 14:08:48
sale_117196ebee89;lead_6db0ae22e19a;user_103237;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;21494;2023-02-05 09:43:27
sale_324fb7f2b441;lead_8fd6826f643d;user_103302;yandex_cpc_psycho_jan2023;Детско-родительские отношения;38197;2023-01-29 12:07:24
sale_4f825ff6ff3b;lead_093f7cf26f77;user_103318;yandex_cpc_psycho_jan2023;Детско-родительские отношения;32673;2023-01-23 19:02:14
sale_33c30a781f70;lead_f58860b20830;user_103342;yandex_cpc_psycho_jan2023;Профессиональное выгорание;25802;2023-01-25 17:49:28
sale_c7b637ee6129;lead_3052ca6929dd;user_103461;yandex_cpc_psycho_jan2023;Профессиональное выгорание;39836;2023-01-24 23:08:56
sale_21615ca7c05a;lead_3e27184a5426;user_103573;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31265;2023-01-28 19:38:31
sale_6f24eaba5add;lead_856896dbfc88;user_103637;yandex_cpc_psycho_jan2023;Профессиональное выгорание;39835;2023-01-15 20:27:48
sale_237305106202;lead_081ec21b9136;user_103699;yandex_cpc_psycho_jan2023;Профессиональное выгорание;33193;2023-01-06 06:16:43
sale_2c8a3cb3844a;lead_be1881deea5e;user_103758;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31749;2023-01-14 09:23:59
sale_b3852c2e0075;lead_8020f90056e4;user_103766;yandex_cpc_psycho_jan2023;Детско-родительские отношения;40834;2023-01-16 22:03:46
sale_9fb10c5cc3a9;lead_cf59135ba6db;user_103789;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;28315;2023-01-24 12:01:29
sale_311905d651a5;lead_b65ce9fab0be;user_103870;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;20690;2023-01-16 03:22:34
sale_6b5d56022e52;lead_9a24184d5910;user_103895;yandex_cpc_psycho_jan2023;Профессиональное выгорание;27555;2023-02-01 07:21:24
sale_ed2c4cd8b671;lead_954b5ea8d841;user_103925;yandex_cpc_psycho_jan2023;Профессиональное выгорание;28317;2023-01-18 05:08:54
sale_4b0a6d4053f1;lead_ecce5a9ba512;user_103949;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;39156;2023-01-25 00:04:43
sale_c12d39ee15ee;lead_065f7c4417eb;user_104002;yandex_cpc_psycho_jan2023;Профессиональное выгорание;23767;2023-01-24 20:58:47
sale_b7d4399d3197;lead_7544e5cf00f3;user_104007;yandex_cpc_psycho_jan2023;Детско-родительские отношения;45919;2023-01-30 20:05:34
sale_0b351f65b1d8;lead_58a6716d9226;user_104046;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;30287;2023-01-16 21:24:25
sale_ec45e7cee1b7;lead_3cc501e3c9c2;user_104080;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;25468;2023-01-31 18:07:44
sale_4765a5f9a883;lead_7423905ed509;user_104129;yandex_cpc_psycho_jan2023;Профессиональное выгорание;32263;2023-01-10 02:22:21
sale_ccf4b8a79717;lead_ca67c60f3c15;user_104153;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;32312;2023-01-21 00:59:51
sale_cd32035e20c9;lead_6191b26733c3;user_104154;yandex_cpc_psycho_jan2023;Профессиональное выгорание;31190;2023-01-20 09:01:35
sale_0286856af17d;lead_c493bd817589;user_104235;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;21715;2023-01-11 06:46:14
sale_79e60038213e;lead_53727140fdff;user_104255;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;31785;2023-01-20 01:05:27
sale_ab3fc32bcba6;lead_1d8409b1ac93;user_104289;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;25808;2023-02-02 11:44:10
sale_f07ca41d167b;lead_7d570ad1451f;user_104321;yandex_cpc_psycho_jan2023;Детско-родительские отношения;47541;2023-01-12 09:08:25
sale_0b9fb08bbe0a;lead_f849253dd6f0;user_104362;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;21878;2023-01-22 08:52:42
sale_997fa101259c;lead_730b547106e6;user_104369;yandex_cpc_psycho_jan2023;Детско-родительские отношения;48105;2023-01-15 12:47:34
sale_edafe144aaf7;lead_905a53357a9b;user_104393;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;44646;2023-01-15 04:14:03
sale_dd0bd3cc79d9;lead_610140cf487a;user_104462;yandex_cpc_psycho_jan2023;Детско-родительские отношения;28537;2023-02-07 14:05:45
sale_fa9f5eea1d08;lead_f263f73b8155;user_104472;yandex_cpc_psycho_jan2023;Детско-родительские отношения;28147;2023-02-05 20:33:48
sale_e37b719cbf08;lead_27accc5ef66c;user_104538;yandex_cpc_psycho_jan2023;Профессиональное выгорание;20619;2023-01-24 01:54:34
sale_7763daae9273;lead_b0260d163018;user_104546;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;21852;2023-02-05 00:35:51
sale_f1239034c641;lead_80adde4a5c94;user_104555;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;30428;2023-02-06 18:25:30
sale_b55625597e7e;lead_64c151456c3e;user_104612;yandex_cpc_psycho_jan2023;Детско-родительские отношения;42729;2023-01-17 18:35:59
sale_002e1b229ca0;lead_3a43abc8cd08;user_104622;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;27831;2023-01-28 19:43:52
sale_383d7d6707f9;lead_5420f276f185;user_104628;yandex_cpc_psycho_jan2023;Профессиональное выгорание;27680;2023-01-28 20:50:23
sale_03d8cd1c40d9;lead_3751486fdb16;user_104650;yandex_cpc_psycho_jan2023;Профессиональное выгорание;32404;2023-01-29 02:41:50
sale_aa38e11d2cbb;lead_8c67c2681c9d;user_104735;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;30676;2023-01-25 18:53:39
sale_aaf629cf6243;lead_a35548d7fec8;user_104750;yandex_cpc_psycho_jan2023;Детско-родительские отношения;32903;2023-01-16 07:42:57
sale_847019dfdc95;lead_2c326da18732;user_104754;yandex_cpc_psycho_jan2023;Эмоциональный интеллект;36719;2023-01-24 03:40:21
sale_69bf89ca8e5a;lead_d8fd30ab9dd9;user_104811;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;17977;2023-01-19 00:11:38
sale_0b31173ac000;lead_acb662c271d0;user_104819;yandex_cpc_psycho_jan2023;Детско-родительские отношения;25583;2023-02-10 04:17:41
sale_ada8b5441ce9;lead_4eac333cfcb0;user_104843;yandex_cpc_psycho_jan2023;Профессиональное выгорание;24513;2023-01-16 12:12:40
sale_9da5383c4d60;lead_54ad04d6e030;user_104863;yandex_cpc_psycho_jan2023;Тревожность: практики самопомощи;15787;2023-01-28 11:04:08
sale_3a18c8a9b546;lead_f584312e7dc4;user_104895;yandex_direct_psycho_jan2023;Эмоциональный интеллект;35751;2023-01-23 22:56:24
sale_26150fb56a40;lead_9a917a7c4f27;user_104942;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;20163;2023-01-16 22:54:48
sale_c04ca14d905c;lead_479bb1c2dfa8;user_104992;yandex_direct_psycho_jan2023;Профессиональное выгорание;24074;2023-02-03 13:18:49
sale_99cbfc1cec2b;lead_c06d1a66a2a0;user_105008;yandex_direct_psycho_jan2023;Эмоциональный интеллект;20146;2023-01-20 17:39:57
sale_633028391d9d;lead_991daf233041;user_105083;yandex_direct_psycho_jan2023;Эмоциональный интеллект;21723;2023-01-26 11:50:11
sale_2ad8dca0afbe;lead_c4fb181a3b25;user_105094;yandex_direct_psycho_jan2023;Профессиональное выгорание;26295;2023-02-10 10:37:40
sale_717bfaa35cb9;lead_d75197b21cb1;user_105142;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;34940;2023-01-26 15:24:19
sale_aedaaedfcc37;lead_1eb22e3d0de8;user_105165;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;17557;2023-01-24 21:36:03
sale_dfb59f2a9900;lead_7b8c5651c269;user_105194;yandex_direct_psycho_jan2023;Эмоциональный интеллект;25667;2023-02-07 14:30:13
sale_e5c3f653dece;lead_e1a874d67b02;user_105214;yandex_direct_psycho_jan2023;Профессиональное выгорание;39116;2023-01-29 06:12:51
sale_7e4f9d8c3540;lead_0e48a127dc43;user_105267;yandex_direct_psycho_jan2023;Профессиональное выгорание;19969;2023-01-23 17:25:56
sale_0b7a5c873858;lead_ed8352909c6e;user_105365;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;15780;2023-01-31 18:09:50
sale_72b7bec1183a;lead_edd9965ff600;user_105410;yandex_direct_psycho_jan2023;Детско-родительские отношения;25279;2023-02-01 17:43:22
sale_a488acdfb43e;lead_815eb47ef594;user_105457;yandex_direct_psycho_jan2023;Эмоциональный интеллект;27878;2023-01-19 19:56:11
sale_18a5b4dec040;lead_64c8e54a3cda;user_105458;yandex_direct_psycho_jan2023;Профессиональное выгорание;34152;2023-01-16 01:36:08
sale_8391365419a4;lead_a41ca44fba53;user_105687;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;26996;2023-01-18 20:46:39
sale_ec60650e9458;lead_773f83bbda3c;user_105691;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;26282;2023-01-22 15:33:49
sale_ac30655a373e;lead_655cc6a225ca;user_105700;yandex_direct_psycho_jan2023;Профессиональное выгорание;21036;2023-01-13 05:41:14
sale_7a2db41cf67a;lead_3ecd56c03096;user_105730;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;22626;2023-01-13 00:43:20
sale_3cca55194e52;lead_51c6862244e2;user_105756;yandex_direct_psycho_jan2023;Эмоциональный интеллект;27346;2023-01-29 10:12:15
sale_9d796bc6996f;lead_28fc94650f7e;user_105759;yandex_direct_psycho_jan2023;Профессиональное выгорание;33645;2023-01-29 12:29:01
sale_4150d9a8a2d6;lead_a6c58de0ea62;user_105864;yandex_direct_psycho_jan2023;Эмоциональный интеллект;35256;2023-01-28 01:02:02
sale_d0d7e47497ab;lead_5bd3d5f4fdbf;user_105932;yandex_direct_psycho_jan2023;Профессиональное выгорание;25274;2023-01-19 01:40:11
sale_87f654589cb4;lead_4be4da4040d8;user_105948;yandex_direct_psycho_jan2023;Детско-родительские отношения;31338;2023-02-01 09:27:22
sale_68f026cbee8a;lead_1abb60652e1a;user_105992;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;34202;2023-02-02 17:07:27
sale_abf6dde67cdd;lead_e689ec14b7f1;user_106005;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;28704;2023-02-01 18:02:15
sale_17a382429d75;lead_c138e8874853;user_106029;yandex_direct_psycho_jan2023;Эмоциональный интеллект;33882;2023-01-15 08:04:01
sale_6bde5dcc146b;lead_d6120aed1778;user_106085;yandex_direct_psycho_jan2023;Детско-родительские отношения;49947;2023-01-20 17:03:11
sale_11560a85de19;lead_3d6d7e54ff6c;user_106183;yandex_direct_psycho_jan2023;Детско-родительские отношения;27896;2023-01-15 19:33:05
sale_a9ef1b19b2cc;lead_35d292f66090;user_106217;yandex_direct_psycho_jan2023;Профессиональное выгорание;28355;2023-01-26 15:07:23
sale_00001c1d944e;lead_25690a4564df;user_106239;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;26950;2023-01-31 20:28:49
sale_7ab81431f51f;lead_70d1f6721640;user_106254;yandex_direct_psycho_jan2023;Профессиональное выгорание;39118;2023-01-11 14:57:38
sale_67748abb186f;lead_890b193c3bc0;user_106317;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;21421;2023-01-22 05:27:37
sale_89f66e1dae49;lead_39d49ebc5ce4;user_106351;yandex_direct_psycho_jan2023;Детско-родительские отношения;46800;2023-01-26 21:11:50
sale_0908ad29da9a;lead_e81dbc737d53;user_106356;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;17273;2023-01-13 13:32:47
sale_ec265be78e80;lead_659c4cb4ba4e;user_106421;yandex_direct_psycho_jan2023;Эмоциональный интеллект;24076;2023-01-29 17:35:03
sale_74a17447a643;lead_0197184436f1;user_106427;yandex_direct_psycho_jan2023;Тревожность: практики самопомощи;30623;2023-02-01 20:16:01
sale_43faf1f617ec;lead_7998e7491867;user_106437;yandex_direct_psycho_jan2023;Эмоциональный интеллект;35316;2023-01-28 10:38:14
sale_3c52053cbcc2;lead_a2afac4ccae8;user_106438;yandex_direct_psycho_jan2023;Детско-родительские отношения;29267;2023-01-20 04:04:38
sale_e438baa2b7b6;lead_6aea5b330883;user_106439;yandex_direct_psycho_jan2023;Эмоциональный интеллект;25869;2023-01-28 15:14:21
sale_69406bfa7f41;lead_a7234d8074f5;user_106516;yandex_direct_psycho_jan2023;Детско-родительские отношения;36619;2023-01-31 14:46:11
sale_311b3faf6cb3;lead_a78aba073e82;user_106524;yandex_direct_psycho_jan2023;Эмоциональный интеллект;25531;2023-02-02 02:01:53
sale_d5bebbe8968b;lead_f733341caf86;user_106592;yandex_direct_psycho_jan2023;Эмоциональный интеллект;23760;2023-01-12 01:57:46
